Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Noah Brown,CYCLING,07-11-2021,10:45:05 AM,00:33:22,22.08,175,39.7,58.6,01:31,01:01,533,9,89,2,91,,,,49,40,309,817,,183.0,71.0,197,55,58,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,156,19.2,03:07,106,362,,16.28,,563,
,00:00:01,156,22.3,02:41,104,362,,25.30,,563,
,00:00:02,157,22.7,02:38,99,362,,31.70,,670,
,00:00:03,158,23.7,02:32,107,362,,38.40,,670,
,00:00:04,158,25.0,02:24,111,363,,45.80,,618,
,00:00:05,159,26.8,02:15,116,363,,54.40,,538,
,00:00:06,159,26.8,02:15,118,363,,63.80,,330,
,00:00:07,160,28.7,02:05,109,363,,74.00,,576,
,00:00:08,161,32.3,01:52,107,363,,84.90,,544,
,00:00:09,161,32.3,01:52,105,363,,96.70,,535,
,00:00:10,161,33.7,01:47,105,363,,108.10,,519,
,00:00:11,162,35.2,01:42,105,363,,119.80,,495,
,00:00:12,162,35.2,01:42,105,363,,131.50,,509,
,00:00:13,163,35.4,01:42,105,363,,142.40,,525,
,00:00:14,163,35.7,01:41,104,363,,152.90,,472,
,00:00:15,164,35.6,01:41,104,364,,163.10,,448,
,00:00:16,164,35.6,01:41,102,364,,172.70,,380,
,00:00:17,164,35.4,01:42,102,364,,182.10,,345,
,00:00:18,165,35.2,01:42,100,364,,191.60,,389,
,00:00:19,165,34.9,01:43,100,364,,201.10,,373,
,00:00:20,165,34.7,01:44,99,364,,210.20,,406,
,00:00:21,165,34.4,01:45,98,364,,219.50,,399,
,00:00:22,165,34.4,01:45,98,364,,228.50,,429,
,00:00:23,165,34.2,01:45,98,364,,237.50,,465,
,00:00:24,164,33.8,01:47,98,364,,246.40,,456,
,00:00:25,165,33.8,01:47,99,364,,255.50,,385,
,00:00:26,165,33.5,01:48,99,364,,264.30,,380,
,00:00:27,165,33.5,01:48,99,364,,273.40,,376,
,00:00:28,165,33.3,01:48,99,365,,282.00,,446,
,00:00:29,165,33.0,01:49,98,365,,290.80,,435,
,00:00:30,165,33.0,01:49,98,365,,299.70,,436,
,00:00:31,165,32.9,01:49,96,365,,308.10,,399,
,00:00:32,165,32.8,01:50,95,365,,317.00,,399,
,00:00:33,165,32.8,01:50,95,365,,325.50,,390,
,00:00:34,165,32.8,01:50,91,365,,334.40,,261,
,00:00:35,165,32.4,01:51,91,365,,343.00,,231,
,00:00:36,165,32.1,01:52,88,365,,352.00,,300,
,00:00:37,165,31.6,01:54,84,365,,360.40,,253,
,00:00:38,166,30.9,01:56,81,365,,368.80,,224,
,00:00:39,166,30.2,01:59,81,365,,376.80,,187,
,00:00:40,166,29.4,02:02,74,365,,384.20,,368,
,00:00:41,166,28.6,02:06,80,365,,391.40,,616,
,00:00:42,165,27.9,02:09,80,365,,398.30,,638,
,00:00:43,166,27.6,02:11,89,365,,404.20,,602,
,00:00:44,166,27.6,02:10,100,366,,409.90,,360,
,00:00:45,166,28.2,02:08,100,366,,415.90,,318,
,00:00:46,166,29.3,02:03,102,366,,423.10,,256,
,00:00:47,166,30.6,01:58,84,366,,430.80,,300,
,00:00:48,165,31.9,01:53,84,366,,439.00,,315,
,00:00:49,165,31.9,01:53,95,366,,447.80,,403,
,00:00:50,165,34.4,01:45,100,366,,458.40,,361,
,00:00:51,166,35.4,01:42,100,367,,470.50,,456,
,00:00:52,166,36.3,01:39,100,367,,482.90,,364,
,00:00:53,166,37.2,01:37,102,367,,495.20,,269,
,00:00:54,166,37.9,01:35,102,367,,507.20,,255,
,00:00:55,166,37.9,01:35,102,367,,519.10,,275,
,00:00:56,166,38.5,01:34,101,367,,530.40,,220,
,00:00:57,166,38.9,01:33,101,367,,541.60,,225,
,00:00:58,166,39.2,01:32,101,367,,553.30,,232,
,00:00:59,166,39.2,01:32,101,368,,564.40,,301,
,00:01:00,166,39.3,01:32,101,368,,575.40,,305,
,00:01:01,166,39.4,01:31,101,368,,586.60,,294,
,00:01:02,166,39.3,01:32,102,368,,596.50,,290,
,00:01:03,166,39.2,01:32,103,368,,606.80,,288,
,00:01:04,166,39.2,01:32,103,368,,617.00,,363,
,00:01:05,166,39.0,01:32,104,368,,627.10,,240,
,00:01:06,165,38.8,01:33,104,369,,637.40,,219,
,00:01:07,165,38.7,01:33,103,369,,647.80,,256,
,00:01:08,165,38.8,01:33,103,369,,658.40,,293,
,00:01:09,165,38.9,01:32,103,369,,669.30,,261,
,00:01:10,165,39.0,01:32,102,369,,680.80,,271,
,00:01:11,165,39.0,01:32,102,369,,691.80,,282,
,00:01:12,165,39.0,01:32,102,369,,704.10,,243,
,00:01:13,165,39.0,01:32,102,370,,715.00,,268,
,00:01:14,165,38.8,01:33,102,370,,724.90,,250,
,00:01:15,165,38.8,01:33,103,370,,736.90,,270,
,00:01:16,164,38.7,01:33,103,370,,746.20,,282,
,00:01:17,164,38.7,01:33,104,370,,757.00,,295,
,00:01:18,164,38.7,01:33,105,370,,767.40,,289,
,00:01:19,164,39.0,01:32,106,370,,776.90,,235,
,00:01:20,164,39.0,01:32,99,371,,790.10,,237,
,00:01:21,164,39.4,01:31,91,371,,799.90,,393,
,00:01:22,164,39.4,01:31,91,371,,810.20,,355,
,00:01:23,164,39.9,01:30,92,371,,823.50,,298,
,00:01:24,164,39.9,01:30,92,371,,834.30,,237,
,00:01:25,165,40.3,01:29,94,371,,847.10,,249,
,00:01:26,165,40.7,01:28,95,371,,858.90,,246,
,00:01:27,165,41.3,01:27,95,372,,870.00,,227,
,00:01:28,165,42.6,01:25,96,372,,883.60,,268,
,00:01:29,165,42.6,01:25,97,372,,895.10,,272,
,00:01:30,165,43.2,01:23,98,372,,906.40,,246,
,00:01:31,165,43.7,01:22,100,372,,921.50,,239,
,00:01:32,165,44.5,01:21,101,372,,933.60,,292,
,00:01:33,165,44.9,01:20,96,372,,947.10,,309,
,00:01:34,165,45.4,01:19,93,372,,960.40,,311,
,00:01:35,165,45.8,01:19,91,372,,973.90,,227,
,00:01:36,166,46.2,01:18,91,372,,988.30,,227,
,00:01:37,165,46.6,01:17,29,373,,1000.20,,227,
,00:01:38,165,46.9,01:17,25,373,,1012.10,,26,
,00:01:39,165,47.1,01:17,25,373,,1026.70,,327,
,00:01:40,165,47.2,01:16,25,373,,1040.00,,377,
,00:01:41,165,47.2,01:16,85,373,,1053.20,,400,
,00:01:42,165,47.1,01:16,89,373,,1066.70,,308,
,00:01:43,165,47.2,01:16,90,373,,1079.50,,299,
,00:01:44,165,47.2,01:16,90,373,,1091.40,,293,
,00:01:45,165,47.2,01:16,90,373,,1106.20,,325,
,00:01:46,164,47.5,01:16,89,373,,1119.40,,268,
,00:01:47,164,47.5,01:16,88,373,,1134.20,,309,
,00:01:48,164,47.6,01:16,88,373,,1147.30,,260,
,00:01:49,164,47.7,01:16,91,373,,1159.10,,290,
,00:01:50,164,47.6,01:16,97,373,,1172.50,,423,
,00:01:51,165,47.3,01:16,99,373,,1185.30,,381,
,00:01:52,165,46.7,01:17,99,373,,1196.90,,389,
,00:01:53,165,46.7,01:17,98,373,,1212.20,,388,
,00:01:54,165,46.2,01:18,98,373,,1222.80,,363,
,00:01:55,166,45.7,01:19,97,373,,1233.40,,319,
,00:01:56,166,45.3,01:20,95,373,,1245.10,,351,
,00:01:57,166,44.8,01:20,94,373,,1257.90,,367,
,00:01:58,166,44.3,01:21,93,373,,1269.70,,368,
,00:01:59,167,43.8,01:22,92,373,,1280.80,,341,
,00:02:00,167,43.2,01:23,91,373,,1291.90,,394,
,00:02:01,167,42.8,01:24,90,373,,1303.50,,384,
,00:02:02,167,42.0,01:26,89,373,,1314.30,,372,
,00:02:03,167,42.0,01:26,89,373,,1325.70,,378,
,00:02:04,167,41.7,01:26,88,373,,1336.60,,360,
,00:02:05,167,41.4,01:27,88,373,,1347.10,,340,
,00:02:06,167,41.0,01:28,87,373,,1357.70,,337,
,00:02:07,167,40.4,01:29,87,373,,1368.60,,291,
,00:02:08,167,40.4,01:29,86,373,,1379.60,,289,
,00:02:09,167,40.1,01:30,85,373,,1389.10,,319,
,00:02:10,167,39.6,01:31,87,373,,1402.00,,262,
,00:02:11,167,39.6,01:31,89,373,,1411.60,,347,
,00:02:12,167,39.3,01:32,89,373,,1421.70,,351,
,00:02:13,167,38.6,01:33,89,373,,1432.20,,345,
,00:02:14,167,38.6,01:33,88,373,,1443.50,,325,
,00:02:15,167,38.3,01:34,88,374,,1451.50,,344,
,00:02:16,167,38.0,01:35,88,374,,1461.10,,369,
,00:02:17,167,37.8,01:35,88,374,,1471.00,,356,
,00:02:18,167,37.5,01:36,88,374,,1481.90,,387,
,00:02:19,168,37.3,01:36,88,374,,1490.60,,378,
,00:02:20,168,37.2,01:37,88,374,,1500.50,,343,
,00:02:21,168,37.1,01:37,88,374,,1510.40,,328,
,00:02:22,168,37.0,01:37,88,374,,1521.70,,336,
,00:02:23,168,37.0,01:37,87,374,,1530.70,,310,
,00:02:24,168,37.0,01:37,87,374,,1541.70,,312,
,00:02:25,168,37.0,01:37,87,374,,1552.00,,309,
,00:02:26,168,36.9,01:37,86,374,,1562.10,,317,
,00:02:27,168,36.9,01:38,86,374,,1572.30,,342,
,00:02:28,168,36.8,01:38,86,375,,1582.40,,339,
,00:02:29,168,36.5,01:39,86,375,,1592.20,,307,
,00:02:30,168,36.4,01:39,86,375,,1602.00,,322,
,00:02:31,168,36.3,01:39,87,375,,1612.10,,320,
,00:02:32,168,36.2,01:40,87,375,,1621.90,,331,
